MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
04/10/2022 - BOS @ MEM,1,240,139,54,99,54.5,18,48,37.5,13,13,100,14,42,56,34,5,2,15,20
04/07/2022 - BOS @ MIL,0,240,121,43,87,49.4,21,50,42.0,14,19,73.7,8,36,44,30,8,4,16,15
04/06/2022 - BOS @ CHI,1,240,117,43,88,48.9,17,37,45.9,14,22,63.6,8,34,42,29,11,6,11,18
04/03/2022 - BOS vs. WAS,1,240,144,56,91,61.5,23,44,52.3,9,13,69.2,7,32,39,39,6,5,7,20
04/01/2022 - BOS vs. IND,1,240,128,45,83,54.2,12,33,36.4,26,28,92.9,11,29,40,29,7,4,15,19
03/30/2022 - BOS vs. MIA,0,240,98,35,85,41.2,11,37,29.7,17,23,73.9,8,36,44,27,9,1,17,22
03/28/2022 - BOS @ TOR,0,265,112,39,95,41.1,12,40,30.0,22,28,78.6,16,41,57,23,5,7,16,15
03/27/2022 - BOS vs. MIN,1,240,134,49,87,56.3,17,39,43.6,19,21,90.5,10,35,45,27,7,5,13,20
03/23/2022 - BOS vs. UTA,1,240,125,50,84,59.5,19,36,52.8,6,7,85.7,8,31,39,37,8,10,12,20
03/21/2022 - BOS @ OKC,1,240,132,44,86,51.2,15,40,37.5,29,34,85.3,6,36,42,22,8,7,8,18
03/20/2022 - BOS @ DEN,1,240,124,47,82,57.3,19,40,47.5,11,11,100,5,33,38,29,4,6,8,18
03/18/2022 - BOS @ SAC,1,240,126,46,82,56.1,22,40,55.0,12,17,70.6,6,37,43,33,11,1,13,23
03/16/2022 - BOS @ GSW,1,240,110,38,81,46.9,15,40,37.5,19,22,86.4,8,45,53,23,4,4,10,15
03/13/2022 - BOS vs. DAL,0,240,92,33,88,37.5,9,37,24.3,17,19,89.5,11,34,45,16,8,3,11,12
03/11/2022 - BOS vs. DET,1,240,114,42,90,46.7,6,32,18.8,24,30,80.0,13,34,47,23,10,3,9,19
03/09/2022 - BOS @ CHA,1,240,115,46,93,49.5,12,37,32.4,11,14,78.6,16,31,47,30,10,8,11,20
03/06/2022 - BOS vs. BKN,1,240,126,40,83,48.2,17,36,47.2,29,38,76.3,10,27,37,25,9,7,10,19
03/03/2022 - BOS vs. MEM,1,240,120,46,89,51.7,16,37,43.2,12,15,80.0,15,36,51,33,4,7,14,15
03/01/2022 - BOS vs. ATL,1,240,107,39,83,47.0,11,35,31.4,18,19,94.7,11,36,47,27,4,8,12,20
02/27/2022 - BOS @ IND,0,240,107,39,91,42.9,12,43,27.9,17,20,85.0,12,28,40,25,5,9,10,13
02/26/2022 - BOS @ DET,1,240,113,42,88,47.7,10,26,38.5,19,21,90.5,10,27,37,31,5,6,10,21
02/24/2022 - BOS @ BKN,1,240,129,46,85,54.1,17,42,40.5,20,27,74.1,8,40,48,28,9,3,13,20
02/16/2022 - BOS vs. DET,0,240,111,42,77,54.5,13,32,40.6,14,18,77.8,2,28,30,29,8,6,15,14
02/15/2022 - BOS @ PHI,1,240,135,46,82,56.1,25,45,55.6,18,22,81.8,7,44,51,28,2,10,9,25
02/13/2022 - BOS vs. ATL,1,240,105,36,85,42.4,11,38,28.9,22,27,81.5,12,42,54,21,5,6,12,15
02/11/2022 - BOS vs. DEN,1,240,108,38,96,39.6,10,37,27.0,22,30,73.3,18,36,54,24,13,8,12,20
02/08/2022 - BOS @ BKN,1,240,126,50,91,54.9,14,40,35.0,12,16,75.0,11,41,52,32,6,8,13,14
02/06/2022 - BOS @ ORL,1,240,116,45,99,45.5,13,46,28.3,13,14,92.9,16,39,55,29,9,6,14,17
02/04/2022 - BOS @ DET,1,240,102,37,82,45.1,9,28,32.1,19,25,76.0,11,44,55,23,4,9,13,17
02/02/2022 - BOS vs. CHA,1,240,113,42,82,51.2,14,36,38.9,15,17,88.2,6,36,42,31,9,5,18,21
01/31/2022 - BOS vs. MIA,1,240,122,44,84,52.4,16,42,38.1,18,27,66.7,9,35,44,24,9,6,10,15
01/29/2022 - BOS @ NOP,1,240,107,43,81,53.1,14,41,34.1,7,11,63.6,6,37,43,31,6,7,14,19
01/28/2022 - BOS @ ATL,0,240,92,30,86,34.9,7,36,19.4,25,27,92.6,16,36,52,15,5,8,16,25
01/25/2022 - BOS vs. SAC,1,240,128,51,103,49.5,20,45,44.4,6,7,85.7,17,50,67,32,6,6,11,12
01/23/2022 - BOS @ WAS,1,240,116,40,90,44.4,19,39,48.7,17,21,81.0,11,46,57,26,5,3,13,16
01/21/2022 - BOS vs. POR,0,240,105,37,82,45.1,11,37,29.7,20,23,87.0,8,34,42,25,7,7,11,24
01/19/2022 - BOS vs. CHA,0,240,102,39,90,43.3,14,46,30.4,10,13,76.9,8,30,38,27,8,3,14,20
01/17/2022 - BOS vs. NOP,1,240,104,38,80,47.5,10,32,31.3,18,20,90.0,5,42,47,22,6,4,14,18
01/15/2022 - BOS vs. CHI,1,240,114,44,90,48.9,9,26,34.6,17,19,89.5,17,33,50,27,6,6,11,15
01/14/2022 - BOS @ PHI,0,240,99,37,78,47.4,11,31,35.5,14,18,77.8,7,37,44,20,4,4,20,21
01/12/2022 - BOS @ IND,1,240,119,40,78,51.3,18,38,47.4,21,25,84.0,7,30,37,23,6,5,11,22
01/10/2022 - BOS vs. IND,1,265,101,35,88,39.8,8,28,28.6,23,28,82.1,12,41,53,17,10,6,20,19
01/08/2022 - BOS vs. NYK,1,240,99,36,76,47.4,12,29,41.4,15,17,88.2,9,36,45,26,8,8,10,15
01/06/2022 - BOS @ NYK,0,240,105,38,80,47.5,17,45,37.8,12,13,92.3,8,30,38,22,5,10,12,16
01/05/2022 - BOS vs. SAS,0,240,97,40,90,44.4,9,28,32.1,8,9,88.9,13,28,41,19,10,9,8,12
01/02/2022 - BOS vs. ORL,1,265,116,39,86,45.3,13,36,36.1,25,28,89.3,9,37,46,25,5,10,21,23
12/31/2021 - BOS vs. PHX,1,240,123,45,83,54.2,10,27,37.0,23,26,88.5,13,38,51,28,6,7,17,18
12/29/2021 - BOS vs. LAC,0,240,82,35,101,34.7,4,42,9.5,8,11,72.7,21,29,50,19,8,8,8,16
12/27/2021 - BOS @ MIN,0,240,103,33,89,37.1,16,47,34.0,21,28,75.0,15,38,53,23,8,10,14,16
12/25/2021 - BOS @ MIL,0,240,113,38,89,42.7,17,45,37.8,20,24,83.3,11,33,44,24,9,8,14,23
